lat,lon,timestamp,user_id
37.80264,-122.40802,2008/06/08 10:39:36,1
37.80042,-122.40818,2008/06/08 10:38:36,1
37.80024,-122.41046,2008/06/08 10:37:35,1
37.79936,-122.41568,2008/06/08 10:36:49,1
37.79892,-122.41983,2008/06/08 10:35:39,1
37.79837,-122.42431,2008/06/08 10:34:42,1
37.79769,-122.43102,2008/06/08 10:32:38,1
37.79384,-122.45561,2008/06/08 10:22:59,2
37.79735,-122.45398,2008/06/08 10:21:09,2
37.79519,-122.45198,2008/06/08 10:20:09,2
37.79031,-122.44731,2008/06/08 10:19:11,2
37.78704,-122.44656,2008/06/08 10:18:07,2
37.78516,-122.44639,2008/06/08 10:16:21,2
37.78306,-122.44712,2008/06/08 10:15:14,2
37.77287,-122.44551,2008/06/08 10:13:02,2
37.77306,-122.43799,2008/06/08 10:12:19,2
37.77095,-122.43708,2008/06/08 10:11:02,2
37.76996,-122.43702,2008/06/08 10:10:02,2
37.76716,-122.43588,2008/06/08 10:09:02,2
37.76588,-122.43125,2008/06/08 10:08:02,2
37.76461,-122.43094,2008/06/08 10:07:05,2
37.76117,-122.42837,2008/06/08 10:05:22,2
37.75694,-122.42797,2008/06/08 10:04:21,2
37.75154,-122.42743,2008/06/08 10:03:33,2
37.752,-122.43863,2008/06/08 10:00:19,3
37.75331,-122.42591,2008/06/08 09:56:25,3
37.75472,-122.42329,2008/06/08 09:55:36,3
37.75676,-122.42354,2008/06/08 09:54:34,3
37.75994,-122.42428,2008/06/08 09:53:25,3
37.76017,-122.4194,2008/06/08 09:52:40,3
37.7616,-122.41947,2008/06/08 09:51:20,4
37.76627,-122.41985,2008/06/08 09:50:14,4
37.77182,-122.42035,2008/06/08 09:49:23,4
37.77642,-122.41466,2008/06/08 09:47:21,4
37.77875,-122.41163,2008/06/08 09:46:24,4
37.78406,-122.40855,2008/06/08 09:44:13,4
37.78626,-122.40992,2008/06/08 09:43:15,4
37.79096,-122.40936,2008/06/08 09:41:13,4
37.79458,-122.40981,2008/06/08 09:40:29,4
37.79745,-122.41038,2008/06/08 09:39:13,4
37.79986,-122.41094,2008/06/08 09:38:13,4
37.80552,-122.41367,2008/06/08 09:36:17,4
37.80679,-122.41411,2008/06/08 09:35:38,4
37.80609,-122.4105,2008/06/08 09:33:54,5
37.80571,-122.40389,2008/06/08 09:32:46,5
37.80432,-122.40205,2008/06/08 09:31:55,5
37.79851,-122.39678,2008/06/08 09:30:48,5
37.7934,-122.39191,2008/06/08 09:29:53,5
37.78748,-122.39421,2008/06/08 09:27:50,5
37.77949,-122.40436,2008/06/08 09:25:10,5
37.7726,-122.41296,2008/06/08 09:23:10,5
