lat,lon,datetime,user_id
37.80015,-122.40747,2008/06/08 09:38:36,2
37.8005,-122.40859,2008/06/08 09:38:39,2
37.79776,-122.40718,2008/06/08 09:40:22,2
37.79299,-122.40388,2008/06/08 09:40:55,2
37.78626,-122.40992,2008/06/08 09:43:15,2
37.78381,-122.40798,2008/06/08 09:44:12,2
37.77875,-122.41163,2008/06/08 09:46:24,2
37.77907,-122.41438,2008/06/08 09:46:25,2
37.76832,-122.41774,2008/06/08 09:49:09,2
37.76627,-122.41985,2008/06/08 09:50:14,2
37.76315,-122.41511,2008/06/08 09:50:21,2
37.76222,-122.40718,2008/06/08 08:33:58,6
37.76443,-122.40731,2008/06/08 08:35:00,6
37.7729,-122.4096,2008/06/08 08:36:31,6
37.79,-122.40411,2008/06/08 08:42:52,6
37.7866,-122.40449,2008/06/08 08:44:34,6
37.78886,-122.40141,2008/06/08 08:44:40,6
37.78707,-122.40916,2008/06/08 08:46:22,6
37.78647,-122.40229,2008/06/08 09:07:04,12
37.78341,-122.40258,2008/06/08 09:07:20,12
37.78173,-122.405,2008/06/08 09:09:09,12
37.7763,-122.41154,2008/06/08 09:09:20,12
37.77423,-122.41651,2008/06/08 09:10:30,12
37.77588,-122.42314,2008/06/08 09:11:48,12
37.77431,-122.42754,2008/06/08 09:12:29,12
37.77668,-122.42294,2008/06/08 09:14:05,12
37.77588,-122.44818,2008/06/08 09:16:05,12
37.77208,-122.45226,2008/06/08 09:17:16,12
37.76584,-122.45776,2008/06/08 09:18:49,12
37.76614,-122.46267,2008/06/08 09:19:16,12
37.79821,-122.43571,2008/06/08 08:52:20,13
37.79577,-122.42425,2008/06/08 08:55:44,13
37.7987,-122.40771,2008/06/08 08:57:54,13
37.79166,-122.40103,2008/06/08 08:58:35,13
37.78977,-122.39729,2008/06/08 08:58:40,13
37.79156,-122.4043,2008/06/08 09:01:25,13
37.78861,-122.40141,2008/06/08 09:01:38,13
37.7859,-122.39967,2008/06/08 09:03:04,13
37.77958,-122.39364,2008/06/08 09:05:30,13
37.78654,-122.39945,2008/06/08 08:07:30,17
37.78614,-122.40184,2008/06/08 08:07:40,17
37.78933,-122.40217,2008/06/08 08:08:40,17
37.78519,-122.40603,2008/06/08 08:09:35,17
37.78619,-122.40859,2008/06/08 08:10:17,17
37.79264,-122.41781,2008/06/08 08:12:07,17
37.79049,-122.41319,2008/06/08 08:12:38,17
37.78582,-122.41013,2008/06/08 08:14:27,17
37.78687,-122.4105,2008/06/08 08:15:16,17
37.79023,-122.41071,2008/06/08 08:15:48,17
37.78345,-122.40292,2008/06/08 09:45:19,19
37.78387,-122.40466,2008/06/08 09:46:08,19
37.78381,-122.40842,2008/06/08 09:46:59,19
37.78205,-122.40418,2008/06/08 09:47:46,19
37.7907,-122.41586,2008/06/08 09:49:42,19
37.79388,-122.40966,2008/06/08 09:50:44,19
37.79077,-122.42244,2008/06/08 09:51:32,19
37.78938,-122.42286,2008/06/08 09:52:10,19
37.79398,-122.42285,2008/06/08 09:53:16,19
