lat,lon,datetime,user_id
37.77361,-122.43737,2008/06/08 07:02:38,5
37.77266,-122.42239,2008/06/08 07:03:09,5
37.76956,-122.42652,2008/06/08 07:04:29,5
37.77894,-122.41496,2008/06/08 07:05:53,5
37.77314,-122.41321,2008/06/08 07:06:33,5
37.77642,-122.40856,2008/06/08 07:07:28,5
37.78103,-122.40255,2008/06/08 07:08:28,5
37.77978,-122.39842,2008/06/08 07:09:29,5
37.78098,-122.39108,2008/06/08 07:09:43,5
37.70401,-122.39393,2008/06/08 07:00:48,6
37.69209,-122.39119,2008/06/08 07:03:40,6
37.74946,-122.40366,2008/06/08 07:03:45,6
37.77679,-122.39335,2008/06/08 07:06:36,6
37.7795,-122.39359,2008/06/08 07:07:34,6
37.77968,-122.39378,2008/06/08 07:08:32,6
37.78558,-122.40125,2008/06/08 07:09:38,6
37.78715,-122.40275,2008/06/08 07:10:37,6
37.78543,-122.40265,2008/06/08 07:11:39,6
37.78372,-122.40839,2008/06/08 07:12:40,6
37.78724,-122.41131,2008/06/08 07:14:33,6
37.80749,-122.40772,2008/06/08 07:05:52,7
37.80676,-122.41885,2008/06/08 07:06:27,7
37.80744,-122.42037,2008/06/08 07:07:27,7
37.80674,-122.42055,2008/06/08 07:07:28,7
37.80254,-122.42057,2008/06/08 07:08:51,7
37.80349,-122.42501,2008/06/08 07:09:56,7
37.80024,-122.42626,2008/06/08 07:10:50,7
37.79291,-122.42457,2008/06/08 07:13:36,7
37.78498,-122.43301,2008/06/08 07:02:22,8
37.78629,-122.44002,2008/06/08 07:04:25,8
37.78439,-122.43229,2008/06/08 07:04:35,8
37.78467,-122.44962,2008/06/08 07:04:52,8
37.78148,-122.44767,2008/06/08 07:06:44,8
37.77772,-122.44635,2008/06/08 07:07:51,8
37.77554,-122.44658,2008/06/08 07:08:57,8
37.77079,-122.4455,2008/06/08 07:12:06,8
37.76716,-122.45879,2008/06/08 07:12:19,8
37.7723,-122.4442,2008/06/08 07:13:06,8
37.77945,-122.44226,2008/06/08 07:13:18,8
37.78608,-122.41827,2008/06/08 07:00:35,9
37.79022,-122.42385,2008/06/08 07:00:49,9
37.78561,-122.42933,2008/06/08 07:01:58,9
37.78805,-122.43359,2008/06/08 07:02:39,9
37.78537,-122.43117,2008/06/08 07:02:55,9
37.79878,-122.42164,2008/06/08 07:05:44,10
