lat,lon,datetime,user_id
37.68954,-122.39069,2008/06/08 07:00:22,6
37.70314,-122.39376,2008/06/08 07:01:11,6
37.71605,-122.39851,2008/06/08 07:02:16,6
37.72954,-122.40319,2008/06/08 07:02:45,6
37.74305,-122.39598,2008/06/08 07:03:49,6
37.75621,-122.39218,2008/06/08 07:04:36,6
37.7693,-122.39746,2008/06/08 07:05:26,6
37.77679,-122.39335,2008/06/08 07:06:36,6
37.7795,-122.39359,2008/06/08 07:07:34,6
37.77968,-122.39378,2008/06/08 07:08:32,6
37.78453,-122.39995,2008/06/08 07:09:42,6
37.78715,-122.40275,2008/06/08 07:10:37,6
37.78778,-122.40507,2008/06/08 07:11:32,6
37.78723,-122.40955,2008/06/08 07:12:43,6
37.78724,-122.41131,2008/06/08 07:14:33,6
37.80017,-122.3983,2008/06/08 07:01:18,7
37.80665,-122.40616,2008/06/08 07:03:19,7
37.80633,-122.41843,2008/06/08 07:06:19,7
37.80633,-122.41843,2008/06/08 07:06:34,7
37.80617,-122.41824,2008/06/08 07:06:54,7
37.80562,-122.4206,2008/06/08 07:07:54,7
37.80527,-122.42491,2008/06/08 07:08:59,7
37.80349,-122.42501,2008/06/08 07:09:56,7
37.80174,-122.42473,2008/06/08 07:11:05,7
37.79285,-122.42315,2008/06/08 07:13:55,7
37.78537,-122.43117,2008/06/08 07:02:55,8
37.78439,-122.43276,2008/06/08 07:04:07,8
37.78334,-122.43977,2008/06/08 07:05:13,8
37.78242,-122.44706,2008/06/08 07:05:55,8
37.78236,-122.44753,2008/06/08 07:06:56,8
37.77695,-122.4468,2008/06/08 07:07:56,8
37.77554,-122.44658,2008/06/08 07:08:57,8
37.77551,-122.44657,2008/06/08 07:09:46,8
37.77545,-122.44652,2008/06/08 07:10:30,8
37.77551,-122.44652,2008/06/08 07:11:26,8
37.77294,-122.44619,2008/06/08 07:12:32,8
37.77212,-122.45183,2008/06/08 07:13:26,8
37.76744,-122.45796,2008/06/08 07:14:28,8
37.76778,-122.42885,2008/06/08 07:00:09,13
37.76464,-122.42872,2008/06/08 07:01:09,13
37.76285,-122.42844,2008/06/08 07:02:13,13
37.76312,-122.42372,2008/06/08 07:03:09,13
37.76339,-122.41999,2008/06/08 07:03:57,13
37.76348,-122.41703,2008/06/08 07:04:52,13
37.76421,-122.4115,2008/06/08 07:05:52,13
37.76446,-122.40745,2008/06/08 07:06:51,13
37.76467,-122.4021,2008/06/08 07:07:52,13
37.76503,-122.39647,2008/06/08 07:08:52,13
37.78795,-122.44057,2008/06/08 07:00:26,15
37.78655,-122.4456,2008/06/08 07:01:11,15
37.78413,-122.45268,2008/06/08 07:02:28,15
37.78396,-122.45702,2008/06/08 07:03:28,15
37.78318,-122.4612,2008/06/08 07:04:29,15
37.78291,-122.46534,2008/06/08 07:05:35,15
37.78284,-122.46854,2008/06/08 07:06:31,15
37.78274,-122.47064,2008/06/08 07:07:00,15
37.78238,-122.47567,2008/06/08 07:07:54,15
37.78225,-122.48028,2008/06/08 07:08:55,15
37.78227,-122.48049,2008/06/08 07:09:55,15
37.80454,-122.44214,2008/06/08 07:04:17,21
37.80452,-122.44209,2008/06/08 07:04:56,21
37.80386,-122.44195,2008/06/08 07:06:10,21
37.80026,-122.44115,2008/06/08 07:07:03,21
37.79675,-122.44039,2008/06/08 07:08:01,21
37.79448,-122.44169,2008/06/08 07:08:57,21
37.78847,-122.44055,2008/06/08 07:11:05,21
37.78446,-122.43963,2008/06/08 07:12:02,21
37.7807,-122.43902,2008/06/08 07:13:09,21
37.77637,-122.43806,2008/06/08 07:14:13,21
37.77373,-122.43756,2008/06/08 07:14:59,21
37.79829,-122.40253,2008/06/08 07:01:40,29
37.79673,-122.40069,2008/06/08 07:02:40,29
37.79408,-122.4006,2008/06/08 07:03:40,29
37.79319,-122.40237,2008/06/08 07:04:52,29
37.79256,-122.40833,2008/06/08 07:05:43,29
37.79087,-122.41466,2008/06/08 07:06:51,29
37.78941,-122.42187,2008/06/08 07:07:41,29
37.7893,-122.42484,2008/06/08 07:08:53,29
37.78818,-122.43247,2008/06/08 07:09:41,29
37.78688,-122.44254,2008/06/08 07:10:52,29
37.78324,-122.44729,2008/06/08 07:11:47,29
37.78018,-122.44741,2008/06/08 07:12:36,29
37.78018,-122.44741,2008/06/08 07:12:52,29
37.77596,-122.44662,2008/06/08 07:13:36,29
37.77318,-122.44597,2008/06/08 07:14:43,29
37.79386,-122.40489,2008/06/08 07:00:30,31
