lat,lon,datetime,user_id
37.80679,-122.41411,2008/06/08 09:35:38,2
37.80552,-122.41367,2008/06/08 09:36:17,2
37.79986,-122.41094,2008/06/08 09:38:13,2
37.79745,-122.41038,2008/06/08 09:39:13,2
37.79458,-122.40981,2008/06/08 09:40:29,2
37.79096,-122.40936,2008/06/08 09:41:13,2
37.78626,-122.40992,2008/06/08 09:43:15,2
37.78406,-122.40855,2008/06/08 09:44:13,2
37.77875,-122.41163,2008/06/08 09:46:24,2
37.77642,-122.41466,2008/06/08 09:47:21,2
37.77182,-122.42035,2008/06/08 09:49:23,2
37.76627,-122.41985,2008/06/08 09:50:14,2
37.7616,-122.41947,2008/06/08 09:51:20,2
37.754,-122.40576,2008/06/08 08:31:14,6
37.75471,-122.40704,2008/06/08 08:32:04,6
37.75703,-122.40684,2008/06/08 08:33:00,6
37.76222,-122.40718,2008/06/08 08:33:58,6
37.76443,-122.40731,2008/06/08 08:35:00,6
37.76946,-122.40783,2008/06/08 08:36:01,6
37.78128,-122.39581,2008/06/08 08:39:31,6
37.78454,-122.40042,2008/06/08 08:43:12,6
37.78785,-122.40636,2008/06/08 08:44:20,6
37.78752,-122.40807,2008/06/08 08:45:17,6
37.78707,-122.40916,2008/06/08 08:46:22,6
37.78379,-122.3989,2008/06/08 09:06:23,12
37.78341,-122.40258,2008/06/08 09:07:20,12
37.78083,-122.40519,2008/06/08 09:08:13,12
37.7763,-122.41154,2008/06/08 09:09:20,12
37.77723,-122.416,2008/06/08 09:10:22,12
37.77702,-122.41943,2008/06/08 09:11:19,12
37.77684,-122.42298,2008/06/08 09:12:17,12
37.77582,-122.42405,2008/06/08 09:13:21,12
37.77328,-122.4439,2008/06/08 09:16:15,12
37.77208,-122.45226,2008/06/08 09:17:16,12
37.76766,-122.45709,2008/06/08 09:18:21,12
37.76614,-122.46267,2008/06/08 09:19:16,12
37.76381,-122.47167,2008/06/08 09:23:10,12
37.79982,-122.43587,2008/06/08 08:52:15,13
37.80061,-122.42973,2008/06/08 08:53:13,13
37.80116,-122.42533,2008/06/08 08:54:26,13
37.79633,-122.42358,2008/06/08 08:55:19,13
37.79731,-122.40591,2008/06/08 08:57:16,13
37.79539,-122.40337,2008/06/08 08:58:21,13
37.79351,-122.40351,2008/06/08 08:59:21,13
37.79188,-122.40263,2008/06/08 09:01:25,13
37.78861,-122.40141,2008/06/08 09:01:38,13
37.78766,-122.40088,2008/06/08 09:02:38,13
37.78186,-122.39625,2008/06/08 09:05:01,13
37.7828,-122.39625,2008/06/08 09:05:31,13
37.78537,-122.40093,2008/06/08 08:06:30,17
37.78614,-122.40184,2008/06/08 08:07:40,17
37.78985,-122.40506,2008/06/08 08:08:36,17
37.78953,-122.40811,2008/06/08 08:09:27,17
37.78899,-122.41124,2008/06/08 08:10:39,17
37.78742,-122.41025,2008/06/08 08:12:05,17
